"","Year","Age","Weight"
"315",2000,"8",0.944
"316",2001,"8",0.815
"317",2002,"8",0.869
"318",2003,"8",0.828
"319",2004,"8",0.773
"320",2005,"8",0.834
"321",2006,"8",0.782
"322",2007,"8",0.816
"323",2008,"8",0.618
"324",2009,"8",0.574
"325",2010,"8",0.604
"326",2011,"8",0.574
"327",2012,"8",0.551
"328",2013,"8",0.585
"329",2014,"8",0.651
"330",2015,"8",0.637
"331",2016,"8",0.725
"332",2017,"8",0.772
"333",2018,"8",0.762
"334",2019,"8",0.733
"335",2020,"8",0.679
"336",2021,"8",0.605
"337",1980,"9",1.183
"338",1981,"9",1.13
"339",1982,"9",1.196
"340",1983,"9",1.238
"341",1984,"9",1.133
"342",1985,"9",1.377
"343",1986,"9",1.491
"344",1987,"9",1.483
"345",1988,"9",1.396
"346",1989,"9",1.313
"347",1990,"9",1.089
"348",1991,"9",1.277
"349",1992,"9",1.318
"350",1993,"9",1.408
"351",1994,"9",1.274
"352",1995,"9",1.28
"353",1996,"9",1.314
"354",1997,"9",1.269
"355",1998,"9",1.328
"356",1999,"9",1.153
"357",2000,"9",1.091
"358",2001,"9",1.033
"359",2002,"9",1.031
"360",2003,"9",0.965
"361",2004,"9",0.944
"362",2005,"9",0.934
"363",2006,"9",0.907
"364",2007,"9",0.945
"365",2008,"9",0.717
"366",2009,"9",0.676
"367",2010,"9",0.597
"368",2011,"9",0.611
"369",2012,"9",0.61
"370",2013,"9",0.603
"371",2014,"9",0.673
"372",2015,"9",0.789
"373",2016,"9",0.752
"374",2017,"9",0.84
"375",2018,"9",0.72
"376",2019,"9",0.765
"377",2020,"9",0.808
"378",2021,"9",0.617
"379",1980,"10",1.374
"380",1981,"10",1.254
"381",1982,"10",1.552
"382",1983,"10",1.446
"383",1984,"10",1.369
"384",1985,"10",1.665
"385",1986,"10",1.747
"386",1987,"10",1.732
"387",1988,"10",1.717
"388",1989,"10",1.463
"389",1990,"10",1.305
"390",1991,"10",1.543
"391",1992,"10",1.64
"392",1993,"10",1.576
"393",1994,"10",1.394
"394",1995,"10",1.643
"395",1996,"10",1.561
"396",1997,"10",1.389
"397",1998,"10",1.418
"398",1999,"10",1.397
"399",2000,"10",1.308
"400",2001,"10",1.386
"401",2002,"10",1.223
"402",2003,"10",1.057
"403",2004,"10",1.035
"404",2005,"10",1.079
"405",2006,"10",0.958
"406",2007,"10",1.104
"407",2008,"10",0.807
"408",2009,"10",0.797
"409",2010,"10",0.567
"410",2011,"10",0.701
"411",2012,"10",0.645
"412",2013,"10",0.611
"413",2014,"10",0.757
"414",2015,"10",0.725
"415",2016,"10",0.862
"416",2017,"10",0.852
"417",2018,"10",0.753
"418",2019,"10",0.789
"419",2020,"10",0.732
"420",2021,"10",0.675
"421",1980,"11",1.895
"422",1981,"11",1.551
"423",1982,"11",1.901
"424",1983,"11",1.68
"425",1984,"11",1.958
"426",1985,"11",2.128
"427",1986,"11",2.194
"428",1987,"11",2.284
"429",1988,"11",2.238
"430",1989,"11",1.94
"431",1990,"11",1.696
"432",1991,"11",1.811
"433",1992,"11",2.005
"434",1993,"11",2.312
"435",1994,"11",1.866
"436",1995,"11",1.744
"437",1996,"11",1.933
"438",1997,"11",1.785
"439",1998,"11",2.065
"440",1999,"11",1.507
"441",2000,"11",1.809
"442",2001,"11",1.556
"443",2002,"11",1.413
"444",2003,"11",1.238
"445",2004,"11",1.192
"446",2005,"11",1.304
"447",2006,"11",1.291
"448",2007,"11",1.389
"449",2008,"11",1.046
"450",2009,"11",0.94
"451",2010,"11",0.837
"452",2011,"11",0.778
"453",2012,"11",0.786
"454",2013,"11",0.775
"455",2014,"11",0.793
"456",2015,"11",0.818
"457",2016,"11",0.886
"458",2017,"11",1.027
"459",2018,"11",0.907
"460",2019,"11",0.958
"461",2020,"11",0.875
"462",2021,"11",0.877
