"","peel","SSB","F","index","year"
"101",3,18255.0329671771,0.236942085754817,20,1999
"102",3,24779.105484329,0.197473304029822,21,2000
"103",3,25376.4105854748,0.241435611885044,22,2001
"104",3,19811.5560347003,0.282985878609372,23,2002
"105",3,14047.7113216554,0.261255500842369,24,2003
"106",3,12318.421213303,0.249544851944156,25,2004
"107",3,11359.9229203397,0.163448720939396,26,2005
"108",3,12448.0148541519,0.168289463223704,27,2006
"109",3,15209.7833295151,0.108531325915162,28,2007
"110",3,20178.821734523,0.134311447485846,29,2008
"111",3,24420.7244288255,0.126174086931963,30,2009
"112",3,27219.1994496593,0.121222037458317,31,2010
"113",3,29926.2501204882,0.0610927734903354,32,2011
"114",3,27209.3229218023,0.0629137055309785,33,2012
"115",3,24727.0759116166,0.058684806706404,34,2013
"116",3,31590.070009079,0.0446099525259895,35,2014
"117",3,36801.5573843022,0.0427492134246827,36,2015
"118",3,46406.1752176112,0.0306642817114782,37,2016
"119",3,51263.0467078734,0.0280878547194006,38,2017
"120",3,51531.2774071217,0.0236781969305064,39,2018
"121",4,57756.5354786712,0.367236977074776,1,1980
"122",4,52804.2516713714,0.257889027176101,2,1981
"123",4,41907.1400762961,0.451120199682711,3,1982
"124",4,35113.4661151977,0.547461854341365,4,1983
"125",4,23401.340359522,0.705203285122315,5,1984
"126",4,17699.6488808367,0.82657648630439,6,1985
"127",4,12411.78030706,0.44765352854441,7,1986
"128",4,10836.9190325782,0.533026206045436,8,1987
"129",4,9244.21051659642,0.521447262008731,9,1988
"130",4,8286.24254023591,0.367017591822755,10,1989
"131",4,9749.13969205493,0.427258546783769,11,1990
"132",4,11285.5003028971,0.401988104020317,12,1991
"133",4,14129.4119319128,0.458461207695884,13,1992
"134",4,14786.3146835034,0.50426963685289,14,1993
"135",4,13889.166525542,0.595998056624698,15,1994
"136",4,15912.8638671206,0.405993075836884,16,1995
"137",4,16680.1554459326,0.296439160272387,17,1996
"138",4,15808.7066060251,0.363228521982627,18,1997
"139",4,16475.0338485799,0.300848990657862,19,1998
"140",4,18272.8402267802,0.236761756727615,20,1999
"141",4,24851.1742724339,0.196904990413342,21,2000
"142",4,25480.1316699743,0.240274987925685,22,2001
"143",4,19899.8616668166,0.281253573595373,23,2002
"144",4,14065.1544964061,0.260506010573446,24,2003
"145",4,12354.7385958939,0.249757063006506,25,2004
"146",4,11367.6612062218,0.163108483912301,26,2005
"147",4,12452.3782187763,0.168635117935771,27,2006
"148",4,15180.4707883785,0.109628424246385,28,2007
"149",4,20117.9150759339,0.135604998677374,29,2008
"150",4,24075.1874156511,0.126674506574088,30,2009
"151",4,26736.0308859916,0.123323126905624,31,2010
"152",4,29378.0351355011,0.0622620584723136,32,2011
"153",4,26728.1564183066,0.0639054365742378,33,2012
"154",4,24285.4426063205,0.0593980860817082,34,2013
"155",4,30902.5791468199,0.0455282767574759,35,2014
"156",4,35709.8571186963,0.0445339003838923,36,2015
"157",4,44753.8932323776,0.0324012353974831,37,2016
"158",4,48761.4365444974,0.0306194314978183,38,2017
"159",5,57974.3175481175,0.365040846421214,1,1980
"160",5,53214.6663995574,0.254809173968362,2,1981
"161",5,42076.9771301864,0.446893215627236,3,1982
"162",5,35310.4938718595,0.541596342593216,4,1983
"163",5,23427.8617892555,0.700875454075759,5,1984
"164",5,17786.5735881712,0.831250163600647,6,1985
"165",5,12462.150560343,0.444852581786724,7,1986
"166",5,10860.3014406543,0.531044709798358,8,1987
"167",5,9255.8270402929,0.521303226571028,9,1988
"168",5,8293.09248855481,0.363454461560315,10,1989
"169",5,9772.2043430764,0.4274341166882,11,1990
"170",5,11286.9144449924,0.401315979320309,12,1991
"171",5,14165.8124011014,0.457476974450771,13,1992
"172",5,14857.9854949361,0.50548442963472,14,1993
"173",5,13935.719897261,0.596179030154815,15,1994
"174",5,16027.300873411,0.403243533779594,16,1995
"175",5,16766.2103750982,0.292911971819033,17,1996
"176",5,15854.4129248148,0.361937379830493,18,1997
"177",5,16533.7663119111,0.29872426927312,19,1998
"178",5,18339.6411221598,0.235491045163001,20,1999
"179",5,25042.6027344347,0.194171497947981,21,2000
"180",5,25718.8333932003,0.236869149522311,22,2001
"181",5,20087.7194688841,0.276881154474284,23,2002
"182",5,14139.3138733939,0.258744292919496,24,2003
"183",5,12434.9983423731,0.249905274173272,25,2004
"184",5,11390.4573404103,0.162764129805588,26,2005
"185",5,12454.268002384,0.170205751931233,27,2006
"186",5,15107.1174874966,0.112168151582302,28,2007
"187",5,19949.0406503931,0.140365786306276,29,2008
"188",5,23190.4544838643,0.130364772711013,30,2009
"189",5,25602.8433511248,0.128857200145193,31,2010
"190",5,28251.3696960033,0.0644052281967776,32,2011
"191",5,25740.2661168603,0.0658837706294386,33,2012
"192",5,23288.2613866281,0.0612901990720878,34,2013
"193",5,29633.3498980237,0.0468912949107124,35,2014
"194",5,34158.8426088055,0.0458541889328668,36,2015
"195",5,42867.1804255665,0.0332350387575083,37,2016
"196",6,58120.979557595,0.36485656937704,1,1980
"197",6,53513.0213784315,0.253793384557882,2,1981
"198",6,42149.3928954462,0.447455660827667,3,1982
"199",6,35488.5114765663,0.542327521464308,4,1983
"200",6,23459.2388257561,0.705567303904563,5,1984
"201",6,17866.4096255197,0.840455612170363,6,1985
"202",6,12496.8107508488,0.444372409642634,7,1986
"203",6,10878.2033149411,0.531606282596818,8,1987
"204",6,9268.6052775017,0.523203192526046,9,1988
"205",6,8301.81334348647,0.365447943378342,10,1989
"206",6,9807.34523696488,0.434272158365154,11,1990
"207",6,11299.3818734677,0.403167031547198,12,1991
"208",6,14212.5474103114,0.457838439450678,13,1992
"209",6,14944.482946928,0.505773776725514,14,1993
"210",6,13981.7047916193,0.596760087600144,15,1994
"211",6,16139.5197198073,0.404329470279295,16,1995
"212",6,16863.9207225917,0.291840015497806,17,1996
"213",6,15908.816034272,0.363956516273305,18,1997
"214",6,16605.6158173763,0.297876255895187,19,1998
"215",6,18404.9284247568,0.235640657092876,20,1999
"216",6,25194.2341331544,0.193694622042941,21,2000
"217",6,25907.6025705364,0.235825222934832,22,2001
"218",6,20245.2009787601,0.275186305210107,23,2002
"219",6,14188.1051790031,0.258181862657109,24,2003
"220",6,12522.1335163199,0.250133499095443,25,2004
"221",6,11454.8889233822,0.161851020150189,26,2005
"222",6,12537.3008224419,0.169481616917935,27,2006
"223",6,15174.9332473003,0.11286496970523,28,2007
"224",6,20092.8595041562,0.140514855543247,29,2008
"225",6,23568.2105374799,0.130188551969803,30,2009
"226",6,25907.9904531395,0.130250972020835,31,2010
"227",6,28491.733684035,0.0645022223837454,32,2011
"228",6,25940.1884368048,0.0654692832296366,33,2012
"229",6,23336.2300474855,0.061358350451486,34,2013
"230",6,29167.1578589247,0.0483184334093229,35,2014
"231",6,33204.15479821,0.0499299592645476,36,2015
"232",7,57957.8990867201,0.365987745201461,1,1980
"233",7,53207.6849246496,0.254813772015608,2,1981
"234",7,42076.6630354485,0.447666360504604,3,1982
"235",7,35349.2166086,0.545316316665067,4,1983
"236",7,23460.733465419,0.703743349058229,5,1984
"237",7,17812.0480752613,0.848661218610159,6,1985
"238",7,12469.3388414514,0.445181800291004,7,1986
"239",7,10852.7366472458,0.532197788320903,8,1987
"240",7,9236.28341434531,0.524203528247424,9,1988
"241",7,8284.97960378312,0.362869783583211,10,1989
"242",7,9778.43997725529,0.432120540392758,11,1990
"243",7,11301.1673309009,0.400830660146722,12,1991
"244",7,14169.6561073849,0.457516733910991,13,1992
"245",7,14854.4209314244,0.509434952151922,14,1993
"246",7,13929.8492520707,0.601859544266817,15,1994
"247",7,16035.9311773647,0.406304109131355,16,1995
"248",7,16778.3575706918,0.293951631562987,17,1996
"249",7,15868.5361714743,0.367635283771855,18,1997
"250",7,16542.881308269,0.300149674224733,19,1998
"251",7,18343.74435084,0.236771562953719,20,1999
"252",7,25009.3556681925,0.19437351189196,21,2000
"253",7,25721.2733590103,0.237756998486029,22,2001
"254",7,20107.0399847164,0.278923968655857,23,2002
"255",7,14144.8926795315,0.261841020188465,24,2003
"256",7,12445.7786728663,0.254533862054901,25,2004
"257",7,11385.6314664964,0.16411178539882,26,2005
"258",7,12472.6210951595,0.172439254690219,27,2006
"259",7,15165.2756366684,0.113453852584992,28,2007
"260",7,20134.9508589491,0.140929083507613,29,2008
"261",7,23860.8558692089,0.129739895965706,30,2009
"262",7,26332.7181468022,0.128561605515328,31,2010
"263",7,28846.9533561777,0.0636941068668386,32,2011
"264",7,26281.1222805177,0.0644991791842065,33,2012
"265",7,23626.3001459964,0.0604317521060637,34,2013
"266",7,29236.5178044031,0.0475201446726507,35,2014
