"","peel","SSB","F","index","year"
"86",3,46830.900652754,0.702768756175022,5,1984
"87",3,35336.9081477655,0.821788270247888,6,1985
"88",3,24803.9234085936,0.448292458345898,7,1986
"89",3,21687.704538305,0.531916115012763,8,1987
"90",3,18509.7718316316,0.519411291526282,9,1988
"91",3,16585.4071021384,0.366296274513652,10,1989
"92",3,19475.704809394,0.424123875581169,11,1990
"93",3,22591.8514573243,0.400284609122297,12,1991
"94",3,28252.4250866821,0.457857346065856,13,1992
"95",3,29516.1346452287,0.503644468341746,14,1993
"96",3,27768.7176771946,0.595391743669244,15,1994
"97",3,31717.7270218063,0.405944935553353,16,1995
"98",3,33285.4342118182,0.297687388435076,17,1996
"99",3,31605.2013127744,0.362398061691956,18,1997
"100",3,32919.1878945648,0.30115204600102,19,1998
"101",3,36512.3382388465,0.236780530610549,20,1999
"102",3,49555.5733599547,0.197359298172499,21,2000
"103",3,50750.7305462714,0.241350363220405,22,2001
"104",3,39623.996391308,0.28290009695058,23,2002
"105",3,28102.1535162056,0.261184210272564,24,2003
"106",3,24640.2639020859,0.249438625696482,25,2004
"107",3,22725.2301595498,0.163380118807318,26,2005
"108",3,24901.2698839156,0.168218257845406,27,2006
"109",3,30430.8320544542,0.108454591251521,28,2007
"110",3,40401.4725435807,0.134209009838288,29,2008
"111",3,49020.1744052909,0.125603716727447,30,2009
"112",3,54612.8160782718,0.120715307570074,31,2010
"113",3,60010.2237748867,0.0608479977219369,32,2011
"114",3,54598.6097113331,0.0626276711457218,33,2012
"115",3,49559.2144084761,0.0584545665646472,34,2013
"116",3,63195.4765489194,0.0444943334400742,35,2014
"117",3,73487.4789624689,0.042687194729579,36,2015
"118",3,92596.481326004,0.0305883095647079,37,2016
"119",3,102853.671135083,0.0279177802806704,38,2017
"120",3,103820.883188909,0.0234598883193542,39,2018
"121",4,115546.169810933,0.367021303830635,1,1980
"122",4,105621.217865158,0.257739204024254,2,1981
"123",4,83833.0181002598,0.450737553490687,3,1982
"124",4,70224.4490855514,0.547067037949422,4,1983
"125",4,46811.9908176528,0.704702455416308,5,1984
"126",4,35401.3165832085,0.826778747367936,6,1985
"127",4,24826.7461172698,0.447455304292988,7,1986
"128",4,21678.3798882795,0.532626894807178,8,1987
"129",4,18490.6795235274,0.521066700699832,9,1988
"130",4,16572.2178138838,0.366585972103218,10,1989
"131",4,19493.5319347491,0.426794280365238,11,1990
"132",4,22572.3986223711,0.401618407543347,12,1991
"133",4,28259.5860563077,0.458198006956912,13,1992
"134",4,29569.8489101546,0.504166056968227,14,1993
"135",4,27776.8100891409,0.595927476212029,15,1994
"136",4,31816.4955682202,0.405833322268788,16,1995
"137",4,33355.3246238134,0.296342304348908,17,1996
"138",4,31618.1922052257,0.363154975453832,18,1997
"139",4,32950.8238314932,0.300697679090645,19,1998
"140",4,36543.8890784644,0.236624607663177,20,1999
"141",4,49690.9288815163,0.19680235371639,21,2000
"142",4,50949.3576679786,0.240238042306481,22,2001
"143",4,39794.1735040502,0.28126037234782,23,2002
"144",4,28133.7418639522,0.260537378313051,24,2003
"145",4,24708.5567150093,0.249769017009819,25,2004
"146",4,22736.349787444,0.163100372350921,26,2005
"147",4,24905.1281006721,0.168656237671255,27,2006
"148",4,30369.7249098497,0.10960934320512,28,2007
"149",4,40294.4702339154,0.135585508788811,29,2008
"150",4,48425.9838099498,0.125921732458283,30,2009
"151",4,53738.8340281748,0.122685295725194,31,2010
"152",4,58964.5240821808,0.0619530949852067,32,2011
"153",4,53687.0775779229,0.0635232358988613,33,2012
"154",4,48682.6242794866,0.0591176424528503,34,2013
"155",4,61767.1894453775,0.0454195511903784,35,2014
"156",4,71140.9046271804,0.0445539246631476,36,2015
"157",4,88979.1936064643,0.0323966809919023,37,2016
"158",4,97565.2496652247,0.0304742981557117,38,2017
"159",5,115934.430695072,0.365041246737479,1,1980
"160",5,106414.894661972,0.254742889106497,2,1981
"161",5,84144.9822516398,0.446744210660557,3,1982
"162",5,70606.8927239333,0.541479490482488,4,1983
"163",5,46851.2779824343,0.700733452916623,5,1984
"164",5,35568.1062114583,0.832151227455175,6,1985
"165",5,24920.1374828257,0.444870984588706,7,1986
"166",5,21717.9629273806,0.530899081012182,8,1987
"167",5,18508.3208612644,0.521236413082124,9,1988
"168",5,16581.6970633592,0.363227131883747,10,1989
"169",5,19538.1368691118,0.427413952992094,11,1990
"170",5,22570.406089663,0.401131398661054,12,1991
"171",5,28328.2607636613,0.45740082318357,13,1992
"172",5,29711.2972971976,0.5056705233859,14,1993
"173",5,27867.4448700612,0.596455757217561,15,1994
"174",5,32047.0067524751,0.403341962935067,16,1995
"175",5,33526.1632518241,0.292928869654589,17,1996
"176",5,31704.7429074886,0.362143595421124,18,1997
"177",5,33062.5188803397,0.298715904658813,19,1998
"178",5,36671.7427785299,0.235519083971364,20,1999
"179",5,50071.2340654949,0.194138714537994,21,2000
"180",5,51424.1040164589,0.236924333654435,22,2001
"181",5,40165.4018590204,0.277017565661047,23,2002
"182",5,28273.0475254546,0.258969589582591,24,2003
"183",5,24862.179113199,0.250183675369864,25,2004
"184",5,22771.5854248339,0.162901328514242,26,2005
"185",5,24896.6484723818,0.170464963768833,27,2006
"186",5,30204.2955827354,0.112377077377362,28,2007
"187",5,39927.9186302606,0.14073924742777,29,2008
"188",5,46573.285717826,0.130084337972687,30,2009
"189",5,51440.9479724797,0.128653683116732,31,2010
"190",5,56631.2349238329,0.064255249340677,32,2011
"191",5,51596.9417883972,0.0656692398127569,33,2012
